"NO","Code","Prev","Open","High","Low","Last","Change","Change(%)","Change(%)","Freq","Volume","Value(T)"
"184","MCAS","7,350","7,425","7,950","7,200","7,650","Rise","300","4.08","1,365","9,865","7,423,482"
"185","JMAS","51","52","53","51","52","Rise","1","1.96","1,353","10,687","55,504"
"186","PTPP","575","575","595","570","580","Rise","5","0.86","1,342","82,167","4,787,553"
"187","DGIK","115","115","119","114","119","Rise","4","3.47","1,340","551,538","6,365,317"
"188","BHAT","765","765","780","765","775","Rise","10","1.30","1,338","1,597,765","123,339,972"
"189","CBRE-W","6","11","11","6","6","Unchnaged","0","0.00","1,298","1,695,283","1,107,709"
"190","IATA","72","72","76","72","76","Rise","4","5.55","1,292","394,851","2,930,138"
"191","BANK","1,210","1,210","1,230","1,185","1,215","Rise","5","0.41","1,284","233,668","28,249,420"
"192","WIKA","515","525","535","515","525","Rise","10","1.94","1,278","116,202","6,089,527"
"193","ELPI","242","242","246","238","242","Unchnaged","0","0.00","1,278","187,299","4,509,657"
"194","KRYA-W","25","25","30","22","25","Unchnaged","0","0.00","1,268","276,789","736,823"
"195","MYOR","2,580","2,630","2,670","2,620","2,670","Rise","90","3.48","1,248","12,620","3,336,019"
"196","BIRD","1,770","1,770","1,800","1,730","1,795","Rise","25","1.41","1,228","30,369","5,388,215"
"197","SMRA","530","530","540","530","535","Rise","5","0.94","1,223","132,095","7,051,045"
"198","BJBR","1,350","1,355","1,360","1,340","1,350","Unchnaged","0","0.00","1,221","74,304","10,045,429"
"199","BBKP","107","107","110","107","108","Rise","1","0.93","1,203","252,353","2,730,511"
"200","ARNA","975","975","1,005","975","1,000","Rise","25","2.56","1,201","221,573","22,148,956"
