"Code","Last","Change","Change(%)","GridFluctRatio","Freq","Volume","Value","Frg Buy","Frg Sell","Net Buy"
"TRIN","252","Rise","30","13.51","24,108","797,548","20,080,911","281","160","121"
"CCSI","650","Fall","5","0.76","34","450","29,198","120","0","120"
"NOBU","505","Rise","15","3.06","62","2,444","122,011","105","0","105"
"JAWA","90","Rise","1","1.12","4,967","399,407","3,946,534","101","0","101"
"CITY","117","Lower limit","8","6.40","218","19,885","234,126","100","0","100"
"PEGE","440","Unchnaged","0","0.00","5","101","4,304","88","0","88"
"URBN","118","Rise","2","1.72","64","899","10,515","66","0","66"
"WSBP","71","Fall","2","2.73","6,071","2,339,176","17,008,654","2,406","2,342","64"
"FUJI","214","Rise","4","1.90","30","514","10,834","157","100","57"
"UFOE","224","Lower limit","16","6.66","12,368","73,424","1,645,238","50","0","50"
"KINO","1,530","Fall","10","0.64","71","2,572","391,840","61","14","47"
"PGUN","730","Fall","5","0.68","107","1,021","75,476","47","0","47"
"SFAN","1,815","Fall","5","0.27","136","4,871","884,545","45","0","45"
"ASHA","98","Rise","1","1.03","4,585","217,218","2,121,936","45","0","45"
"OMRE","600","Rise","15","2.56","16","78","4,659","44","0","44"
"GGRP","448","Fall","8","1.75","161","4,577","205,289","42","0","42"
"SOSS","438","Rise","2","0.45","91","1,734","77,002","35","0","35"
"ALDO","765","Rise","15","2.00","50","541","40,981","31","0","31"
"SAFE","200","Unchnaged","0","0.00","742","5,183","103,478","30","0","30"
"RCCC","83","Fall","6","6.74","530","34,577","288,214","25","0","25"
"AMAG","386","Unchnaged","0","0.00","20","247","9,541","25","0","25"
"BINA","3,990","Unchnaged","0","0.00","15","543","216,637","25","2","23"
"PTSN","184","Rise","2","1.09","37","293","5,347","23","0","23"
"GPRA","98","Rise","1","1.03","912","24,551","238,422","5,000","4,978","22"
"LINK","2,040","Rise","10","0.49","88","252","51,462","118","98","20"
"TFAS","4,280","Rise","580","15.67","215","1,955","790,365","50","30","20"
"TLDN","500","Unchnaged","0","0.00","42","538","27,038","18","0","18"
"BMAS","1,400","Rise","5","0.35","16","1,913","266,903","15","0","15"
"EPMT","2,730","Rise","20","0.73","49","690","189,851","12","0","12"
"IFII","191","Fall","4","2.05","57","1,845","35,164","10","0","10"
"POLI","835","Rise","35","4.37","27","72","5,691","9","0","9"
"PMJS","158","Unchnaged","0","0.00","36","2,111","33,223","4","0","4"
"CMNP-W","625","Fall","320","33.86","7","206","8,582","4","0","4"
"MEGA","5,125","Rise","25","0.49","35","129","65,667","3","0","3"
"KBLV","67","Fall","1","1.47","30","1,598","10,808","3","0","3"
"SMMA","12,750","Unchnaged","0","0.00","9","12","14,985","3","0","3"
"ROCK","232","Fall","10","4.13","2","3","69","2","0","2"
"LTLS","1,390","Rise","5","0.36","91","799","111,705","2","0","2"
"LPGI","6,200","Unchnaged","0","0.00","6","7","4,340","1","0","1"
"BPII","10,700","Unchnaged","0","0.00","1","1","1,070","1","0","1"
"TGRA","56","Rise","3","5.66","435","107,056","590,443","1","0","1"
"CASS","418","Rise","6","1.45","94","7,577","322,115","1","0","1"
"SIPD","1,240","Rise","60","5.08","3","3","377","1","0","1"
"DEWA","50","Unchnaged","0","0.00","126","214,168","1,070,840","1","0","1"
"TELE","50","Unchnaged","0","0.00","4","18","90","1","0","1"
